#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
119,gw7,Regression,FtOpSoRtPerfFn054,Pass,SubTest,2024-01-03 02:31:29,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V1,
120,gw7,Regression,FtOpSoRtPerfFn057,Pass,Mapped,2024-01-03 02:31:52,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V1,
121,gw7,Regression,FtOpSoRtPerfFn056,Pass,SubTest,2024-01-03 02:31:52,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V1,
122,gw7,Regression,ft_arp_dynamic_renew_traffic_test,Pass,Mapped,2024-01-03 02:35:41,Test case passed,test_ft_arp_dynamic_renew_traffic_test,routing/test_arp.py,V1,
123,gw5,Regression,ft_ip_static_ip_on_mgmt_intrf,ScriptError,Mapped,2024-01-03 02:35:49,Exception SPyTestCmdException Command Exception: sudo -s ip route add default via None in file /spytest/net.py at line 1636,test_ft_ip_static_ip_on_mgmt_intrf,system/test_device_mgmt.py,V2,
124,gw7,Regression,ft_ecn_config_to_config_db_json_after_save_and_reboot,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
125,gw7,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
126,gw7,Regression,ft_acl_configvalues_save_reload,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
127,gw7,Regression,FtOpSoQosWredCfg001,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
128,gw7,Regression,FtOpSoQosEcnCfg001,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
129,gw7,Regression,FtOpSoQosAclCmFn002,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
130,gw7,Regression,FtOpSoQosAclCmFn001,Pass,Mapped,2024-01-03 02:45:25,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V1,
